,,2.12.11 Manage Partners Skills & Readiness,,,,,"Capability to develop the marketing and development details including the target market, decision makers, Partner Skills Development Product features, benefits, partner research, forecasts, prototyping, etc",L3,,,,
,,,2.12.11.1 Partner Skills & Readiness Planning,,,,"Establish communication channels with the partner and use tools that will capture requirements, prioritize them, and relate them to the Partner Skills Development Product design.",L4,,,,
,,,,2.12.11.1.1 Partner Requirements ,,,,L5,,,,
,,,,2.12.11.1.2 Partner Skills Development Alignment to:,,,,L5,,,,
,,,,,1.1.2.1 Internal Readiness,,,n/a,,,,
,,,,,1.1.2.2 Microsoft Partner Program,,,n/a,,,,
,,,,,1.1.2.3 MBS Channel Strategy,,Define the Partner Skills Development Product concept that states the benefits to be offered by a new Partner Skills Development Product and the Partner Skills Development Product attributes that will provide those benefits.,n/a,,,,
,,,,2.12.11.1.3 Partner Skills Development Product Definition,,,"Any form of training, e.g. classroom training, remote training, E-Learning",L5,,,,
,,,,,1.1.3.1 Training,,"Any form of knowledge testing, e.g. proficiency assessments, certifications",n/a,,,,
,,,,,1.1.3.2 Assessment,,Identify several methods strategies for solving the needs of the partner,n/a,,,,
,,,,2.12.11.1.4 Strategic Scenario Review,,,This includes the planning to determine what type of Partner Skills Development Product needs to be created for readying  partners  for a new role or to support new Partner Skills Development Products or services,L5,,,,
,,,,2.12.11.1.5 Partner Skills Development  Planning,,,"Gain agreement about the capability and reliability of the Partner Skills Development Product.  Communicate these targets to everyone else in the development process, both internally and externally.",L5,,,,
,,,,,1.1.5.1 Quality Target Planning & Deployment,,Determine how much should be invested in the development of the Partner Skills Development Product both in terms of resources and direct materials.  Work with management and supplier partners to gain agreement with the estimates.,n/a,,,,
,,,,,1.1.5.2 Cost Target Planning & Deployment,,,n/a,,,,
,,,,,1.1.5.3 Title Prioritization,,Develop a plan to bring the Partner Skills Development Product to market beginning from conceptual design and ending at Partner Skills Development Product market introduction.,n/a,,,,
,,,,,1.1.5.5 Sales Forecasting,,,n/a,,,,
,,,,,1.1.5.6 Consumption Forecasting,,,n/a,,,,
,,,,,1.1.5.7 Internal Contributor Identification ,,,n/a,,,,
,,,,,1.1.5.8 Supplier Identification,,"External Suppliers should be chosen based on price, quality, reliability, delivery, capacity, growth, proximity, and technology.",n/a,,,,
,,,,2.12.11.1.6 Portfolio Evaluation & Management,,,Manage the development of all sub-components that make up the end Partner Skills Development Product.,L5,,,,
,,,,2.12.11.1.7 Life Cycle and Development Schedule Targets,,,"Create a schedule that addresses the key development phases, entry exit criteria, required resources, and key milestones.",L5,,,,
,,,,2.12.11.1.8 Technology Integration Analysis,,,Participate in R&D to look for opportunities to integrate proven technologies that will serve as market differentiators.,L5,,,,
,,,,2.12.11.1.9 Field Planning Guidance,,,,L5,,,,
,,,2.12.11.2 Create Partner Readiness Content,,,,,L4,,,,
,,,,2.12.11.2.1 Content Target Role,,,Includes Learning Plans,L5,,,,
,,,,,1.3.13.1.1 Business-owner,,,n/a,,,,
,,,,,1.3.13.1.2 Project Manager,,,n/a,,,,
,,,,,1.3.13.1.3 Sales,,,n/a,,,,
,,,,,1.3.13.1.4 Presales,,,n/a,,,,
,,,,,1.3.13.1.5 Marketing,,,n/a,,,,
,,,,,"1.3.13.1.6 Consultant - Configuration, Customization",,,n/a,,,,
,,,,,"1.3.13.1.7 Consultant - Installation, Deployment, Methodology",,,n/a,,,,
,,,,,1.3.13.1.8 Developer,,,n/a,,,,
,,,,2.12.11.2.2 Content Target Partner Type,,,,L5,,,,
,,,,,1.3.13.2.1 ISV,,,n/a,,,,
,,,,,1.3.13.2.2 VAR,,,n/a,,,,
,,,,,1.3.13.2.3 SI,,,n/a,,,,
,,,,,1.3.13.2.4 Hoster,,,n/a,,,,
,,,,2.12.11.2.3 Content Type,,,,L5,,,,
,,,,,Virtual Classroom (ILT - Remote Learning),,includes online hands on labs,n/a,,,,
,,,,,1.3.13.3.1 Classroom ,,,n/a,,,,
,,,,,1.3.13.3.2 Hand-on labs,,,n/a,,,,
,,,,,1.3.13.3.3 E-Learning,,,n/a,,,,
,,,,2.12.11.2.4 Translation of Content,,,Translation of content,L5,,,,
,,,,2.12.11.2.5 Localization of Content,,,Covering local functionality,L5,,,,
,,,,2.12.11.2.6 Personalize Content,,,Customization (not this one),L5,,,,
,,,2.12.11.3 Existing  Partner Skills Development Feedback,,,,,L4,,,,
,,,,2.12.11.3.1 Partner Skills Development Product Feedback Collection,,,,L5,,,,
,,,,2.12.11.3.2 Partner Skills Development Product Feedback Monitoring,,,,L5,,,,
,,,,2.12.11.3.3 Partner Skills Development Product Refinement & Changes,,,,L5,,,,
,,,2.12.11.4 Manage Partner Skills Content,,,,,L4,,,,
,,,,2.12.11.4.1 Manage Submission Guidelines,,,,L5,,,,
,,,,,1.5.7.1.1 Manage Information Policies and Standards,,,n/a,,,,
,,,,,1.5.7.1.2 Maintain Change Management Processes,,,n/a,,,,
,,,,,1.5.7.1.3 Develop Metadata Policies and Procedures,,,n/a,,,,
,,,,,1.5.7.1.4 Create Performance Measurement Standards,,,n/a,,,,
,,,,,1.5.7.1.5 Manage Content Workflow & Approvals,,,n/a,,,,
,,,,2.12.11.4.2 Standard Templates Compliance ,,,,L5,,,,
,,,,2.12.11.4.3 Source content developed in the field,,,,L5,,,,
,,,,2.12.11.4.4 Manage Product Lifespan,,,,L5,,,,
,,,,2.12.11.4.5 Manage Documents,,,,L5,,,,
,,,,2.12.11.4.6 Archive Product,,,,L5,,,,
,,,,2.12.11.4.7 Manage Product Versions,,,,L5,,,,
,,,,2.12.11.4.8 Tag Content,,,,L5,,,,
,,,,2.12.11.4.9 Analyze Usage Of Product,,,,L5,,,,
,,,,2.12.11.4.10 Audit Content,,,,L5,,,,
,,,,2.12.11.4.11 Product Retention Policy Development,,,,L5,,,,
,,,,2.12.11.4.12 Index Content,,,,L5,,,,
,,,,2.12.11.4.13 Cross Reference Product,,,,L5,,,,
,,,,2.12.11.4.14 Product Catalog Management,,,,L5,,,,
,,,,,1.5.7.14.1 Course Template Management,,,n/a,,,,
,,,,,1.5.7.14.2 Course Resources Management,,,n/a,,,,
,,,,,1.5.7.14.3 Course Catalog Management,,,n/a,,,,
,,,,,1.5.7.14.4 Course Content Repository,,,n/a,,,,
,,,2.12.11.5 Manage Skills Communications & Awareness ,,,,,L4,,,,
,,,,2.12.11.5.1 Promotions Management,,,,L5,,,,
,,,,2.12.11.5.2 Advertising Management,,,,L5,,,,
,,,,2.12.11.5.3 To field,,,,L5,,,,
,,,,2.12.11.5.4 To partner,,,,L5,,,,
,,,,2.12.11.5.5 To CPLS/MCT,,,,L5,,,,
,,,2.12.11.6 Partner Skills Development Product Delivery,,,,"Capabilities for delivering courses though various channels such as online and class room training  and managing scheduling of training and instructors and registration capabilities such as course calendar, registration confirmation, reminder, wait lists management etc. Also includes capabilities required to evaluate trainees and for trainees to track the status progress of courses",L4,,,,
,,,,2.12.11.6.1 Online (eLearning),,,,L5,,,,
,,,,2.12.11.6.2 Virtual Classroom (ILT - Remote Learning),,,,L5,,,,
,,,,2.12.11.6.3 Classroom Training,,,,L5,,,,
,,,,2.12.11.6.4 Training Schedule,,,,L5,,,,
,,,,2.12.11.6.5 Instructor Scheduling,,,,L5,,,,
,,,,2.12.11.6.6 Course Registration,,,,L5,,,,
,,,,2.12.11.6.7 Registration Management,,,,L5,,,,
,,,,2.12.11.6.8 Registration reporting,,,,L5,,,,
,,,,2.12.11.6.9 Training Status Tracking,,,,L5,,,,
,,,2.12.11.7 Training Transcript Management,,,,,L4,,,,
,,,,2.12.11.7.1 Transcript Repository,,,,L5,,,,
,,,,2.12.11.7.2 Scorecards,,,,L5,,,,
,,,2.12.11.8 Training Evaluation,,,,,L4,,,,
,,,,2.12.11.8.1 Course Evaluation,,,,L5,,,,
,,,,2.12.11.8.2 Instructor Evaluation,,,,L5,,,,
,,,,2.12.11.8.3 Trainee Evaluation,,,,L5,,,,
,2.13 Manage Direct Channel,,,,,,,L2,,,,
,2.14 Manage Offers,,,,,,"Capabilities involved in establishing the rules and conditions for selling products and or services to the market, especially with respect to pricing of products, eligibility, availability, and bundling, as well as any associated promotions. Often sold through marketing programs.",L2,,,,
,,2.14.1 Develop Licensing & Pricing Strategy ,,,,,"Ability to establish the approach, analyze price sensitivity, and targeting for specific products and or services.",L3,,,,
,,2.14.2 Configure Program/Offer and Pricing Calculation Rules,,,,,Ability to establish the rules around a particular market product offering.,L3,,,,
,,,2.14.2.1 Configure Rules ,,,,"Ability to configure a product, program, and market offer with the business rules related to compatibility, compliance to terms and conditions, and pricing.",L4,,,,
,,,2.14.2.2 Manage Product Pricing Rules ,,,,,L4,,,,
,,,,"2.14.2.2.1 Maintain Product (Software, Services & Hardware) Design Accuracy",,,,L5,,,,
,,,,2.14.2.2.2 Maintain Configurator Rules,,,,L5,,,,
,,,,2.14.2.2.3 Maintain Pricing Conditions,,,,L5,,,,
,,,,2.14.2.2.4 Calculate Configured Price,,,,L5,,,,
,,,,2.14.2.2.5 Capture & Prioritize SKU Idea,,,,L5,,,,
,,,,2.14.2.2.6 Manage Price Availability,,,,L5,,,,
,,,,2.14.2.2.7 Setup System Price Point for Country Region,,,,L5,,,,
,,,,2.14.2.2.8 Define Promotional Pricing,,,,L5,,,,
,,,,2.14.2.2.9 Develop & Manage Discounts,,,,L5,,,,
,,,,,2.13.2.2.3 Maintain Discount Conditions,,,n/a,,,,
,,,,,1.3.7.3.1 Set Volume Discounts,,,n/a,,,,
,,,,,1.3.7.3.4 Set Configuration Discounts,,,n/a,,,,
,,,,,1.3.7.3.3 Set Partner\Customer Segment Discounts,,,n/a,,,,
,,,,2.14.2.2.10 Price Override Rules Setup,,,,L5,,,,
,,,,,1.3.7.3.2 Develop Concessions,,,n/a,,,,
,,,2.14.2.3 Manage Standard Pricing Approval,,,,,L4,,,,
,,,2.14.2.4 Maintain Pricing List and Publish Rules,,,,,L4,,,,
,,,2.14.2.5 Calculate Configured Price,,,,"Based upon a configuration of a given market offer, the ability to calculate the price based upon the pricing rules.",L4,,,,
,,,2.14.2.6 Capture Product,,,,,L4,,,,
,,,2.14.2.7 Apply Standard Pricing Approval ,,,,,L4,,,,
,,,2.14.2.8 Publish Prices List and Rules ,,,,Ability to publish internally and externally the price list and rules based upon a program and or offer configuration.,L4,,,,
,,,2.14.2.9 Monitor Pricing Effectiveness ,,,,,L4,,,,
,,2.14.3 Program Launch & Release,,,,,,L3,,,,
,,2.14.4 Distribute Price List ,,,,,Delivery of price lists to channel partners in various formats and through various medium.,L3,,,,
,,2.14.5 Manage Products Catalog,,,,,"Capabilities regarding the creation and publication of product information in a manner that is consumable for sales and marketing purposes, including product information.",L3,,,,
,,,2.14.5.1 Manage Paper Based Catalog,,,,"Customize the product catalog in such a way as to appeal to customers and partners, emphasizing the need and benefit to specific customers.",L4,,,,
,,,2.14.5.2 Manage Online Catalog,,,,Customize the product catalog to meet the needs of B2B and B2C marketplaces.,L4,,,,
,,2.14.6 Develop Market/Product Offering,,,,,"A Market Offering is a Product Offering or Market Bundle that is marketed and sold through a particular Selling Framework(aka, Program)",L3,,,,
,,,2.14.6.1 Envision Offerings,,,,,L4,,,,
,,,2.14.6.2 Plan Offerings,,,,,L4,,,,
,,,2.14.6.3 Develop Offerings,,,,,L4,,,,
,,,2.14.6.4 Stabilize Offerings,,,,,L4,,,,
,,,2.14.6.5 Deploy Offerings,,,,,L4,,,,
,,,2.14.6.6 Support Offerings,,,,,L4,,,,
,,,2.14.6.7 Optimize Offerings,,,,,L4,,,,
,,,2.14.6.8 Retire Offerings,,,,,L4,,,,
,,,2.14.6.9 Develop Entitlement/Rights ,,,,"The ability to define the entitlements rights obligations for a given program at the base level. This is usually further refined during Agreement negotiation. This refers to the base usage terms and conditions and included subscriptions, license position, enhancements, Warranty, Support.",L4,,,,
,,,2.14.6.10 Conduct Program Development,,,,"A set of models, frameworks, and rules established by a Business Stream that determine how a given collection of Market Offerings will be sold and distributed to a target market.",L4,,,,
,,,,2.14.6.10.1 Manage Program Approval Workflow,,,,L5,,,,
,,,,2.14.6.10.2 Maintain Program Terms,,,"The terms and conditions of the program, especially those related to legal matters.",L5,,,,
,,,,2.14.6.10.3 Manage Enrollment,,,"For qualified parties, the ability to state acceptance of the program and provide the required information and or liabilities.",L5,,,,
,,,,2.14.6.10.4 Manage Program Availability,,,"The ability to determine whether or not a given program is available to a party. This is not based the characteristics of the party themselves, but due to other factors, such as geographic availability",L5,,,,
,,,,2.14.6.10.5 Manage Program Eligibility,,,"The ability to determine if a given party is eligible for a program based upon their profile, which may include characteristics such as company size, volume, or industry (e.g., academia) ",L5,,,,
,,,,2.14.6.10.6 Define Offering Structure,,,,L5,,,,
,,,2.14.6.11 Manage Solution Offering ,,,,"The ability to store in a catalog repository, the various solutions that are offered by Microsoft and associated Partners.",L4,,,,
,,,,2.14.6.11.1 Manage Solution Catalog ,,,,L5,,,,
,,,,2.14.6.11.2 Map Partner Solution ,,,,L5,,,,
,,,,2.14.6.11.3 Profile and Score Partner Solutions,,,,L5,,,,
,,,,2.14.6.11.4 Conduct Catalog Search,,,"Based upon attribution of catalog solutions and their associated product offerings, the ability to search across the catalog based upon customer needs.",L5,,,,
,,,,,1.5.7.1.1 Manage Catalog Item Relevancy ,,"Based upon the customer's search criteria, the ability to rank the solution in the catalog using relevancy rules and logic.",n/a,,,,
,,,,,1.5.7.1.2 Manage Catalog Cross-Sell and Up-Sell,,"For a given result set or chosen catalog item, the ability to identify and display cross-sell and up-sell solutions. ",n/a,,,,
,,,,,1.5.7.1.3 Conduct Catalog Item Comparison,,The ability to select multiple solutions in the catalog and provide a mechanism for side-by-side comparison of features benefits.,n/a,,,,
,,2.14.7 Develop Supporting Materials,,,,,"Document specifications, warranty agreements, marketing brochures, etc…",L3,,,,
,,,2.14.7.1 Formalize Guidelines,,,,,L4,,,,
,,,2.14.7.2 Develop Content Readiness,,,,,L4,,,,
,,,,2.14.7.2.1 Create Bill of Materials,,,"Develop the ""parts list"" of components needed to complete a sellable end-item",L5,,,,
,,,,2.14.7.2.2 Create Reference Architecture,,,"Provide a proven template solution for an architecture for supporting materials. Develop a common vocabulary with which to discuss implementations, often with the aim to stress commonality",L5,,,,
,,,,2.14.7.2.3 Create Solution Definition and Scenarios,,,Define the solution and develop use case scenarios,L5,,,,
,,,2.14.7.3 Develop Sales Readiness Content,,,,"Development of supporting content for the product, offering or service",L4,,,,
,,,,2.14.7.3.1 Establish Value Proposition,,,"Statement summarizing the customer segment, competitor targets and the core differentiation of one's product from the offerings of competitors",L5,,,,
